symbol,date,trade_id,verdict,violation_type,confidence,rationale,remark_draft
BTCUSDT,2026-01-01,BTCUSDT_00000976,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00002555,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00001411,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00000493,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00003198,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00000033,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00002863,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00000488,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00000501,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00003954,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00004727,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00002999,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00000617,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00003090,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00003900,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00004630,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00000295,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00000279,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00003158,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00000628,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00003338,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00001443,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00001313,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00003295,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00002283,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00002894,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00000549,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00003506,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00002791,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00000748,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00002425,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00002814,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-01,BTCUSDT_00003732,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-02,BTCUSDT_00002656,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-02,BTCUSDT_00001511,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-02,BTCUSDT_00003625,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-02,BTCUSDT_00003736,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-02,BTCUSDT_00002563,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-02,BTCUSDT_00001883,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-02,BTCUSDT_00004774,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-02,BTCUSDT_00004118,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
BTCUSDT,2026-01-02,BTCUSDT_00002507,benign,,0.1,No anomaly detected by independent rule set.,Trade appears normal.
